Competitii 2026
	Competitie	Data	Info
	Casoaia Bike Run & Fun	25-26 iul 2026	https://www.facebook.com/profile.php?id=100057529934395
	Fagaras Rocks	29 iul-2 aug 2026	https://fagarasrocks.ro/
	August		
	Mogosa Everesting	1 aug 2026	https://mogosaeveresting.ro/
	Tura licuricilor	1 aug 2026	https://www.facebook.com/photo/?fbid=1231855472317549&set=a.477094197793684
	Sibiu Triathlon Challenge	2 aug 2026	https://www.facebook.com/events/775602391845026/
	Ultra Race Romania	3-12 aug 2026	https://ultraraceromania.ro/
	Retezat Mountain Run	8 aug 2026	https://retezat-maraton-rausor.ro/
	Mures 24H	8 aug 2026	https://www.facebook.com/events/s/mures24h-mtb-trail-running-202/1929225134304803/
	Maratonul Nordului – Teioasa Trail	8-9 aug 2026	https://www.facebook.com/events/781214247577154
	Oltenia Forest Run	15-16 aug 2026	https://www.facebook.com/olteniaalearga
	Night Cross Challenge	21 aug 2026	https://www.facebook.com/events/1616231013094179/
	Via Transilvanica Maraton	22 aug 2026	https://maraton.viatransilvanica.com/
	2X2 Race	22 aug 2026	https://www.2x2race.ro/
	Underdogs - The Backyard Ultra	28 aug 2026	https://www.facebook.com/underdogbackyardultra
	Maraton Dragonul de Aur	29 aug 2026	https://www.facebook.com/events/1344113827055516/
	Jidvei Weinland Trails	29 aug 2026	https://www.jidvei.ro/weinland-trails/
	Oslea Run	29 aug 2026	https://run.oslea.ro/
	Vrancea Montana Run	30 aug 2026	https://vranceamontanarun.ro/
	Septembrie		
	Cugi Race	5 sep 2026	https://cugirace.ro/
	Transfier	5 sep 2026	https://transfier.ro/
	Strugu Run	5 sep 2026	https://strugurun.ro/
	Ultramaraton Galați 24	5-6 sep 2026	https://www.facebook.com/profile.php?id=100064617015844
	Via Pontica	6 sep 2026	https://viapontica.eu/en/
	European Masters Off Road Championships	10-13 sep 2026	https://www.runtransylvania.com/ro/european-masters-off-road-champhionships/
	Rasnov Medieval Run	10-13 sep 2026	https://www.facebook.com/RunTransylvaniaPage/
	Woodrocks Trail Run	12 sep 2026	https://www.facebook.com/events/659141377246292/
	Maratonul Dragomirnei	12 sep 2026	https://acstrib.ro/inscrieri-maratonul-dragomirnei/
	Gugulan MTB & Run	12 sep 2026	https://www.facebook.com/gugulanmtb/
	Festivalul Sporturilor Baneasa	12-13 sep 2026	https://festivalulsporturilor.ro/
	Pe-un picior de plai	13 sep 2026	https://www.facebook.com/photo/?fbid=1231855472317549&set=a.477094197793684
	Zavoi Trail Comana	13 sep 2026	https://zavoitrail.adrenallina.ro/
	Semimaraton Brăila	13 sep 2026	https://runbraila.ro/
	Rombat Trail Race	13 sep 2026	https://runnersclub.ro/
	Baia Mare Half Marathon	13 sep 2026	https://www.facebook.com/events/736246279179453/
	Autism 24H	19-20 sep 2026	https://www.autism24h.ro/
	Siria Vertical Loop	19 sep 2026	https://clubatia.com/
	Omu Marathon	19 sep 2026	https://www.omumarathon.com/
	Gușterița Trail Run	19 sep 2026	https://www.facebook.com/events/1815808285806763
	Mogosa Race	19 sep 2026	https://www.facebook.com/events/1611176950320294/
	Oradea City Running Day	20 sep 2026	https://www.facebook.com/events/1140541694640394/
	Crosul Companiilor	20 sep 2026	https://runnersclub.ro/
	Crosul Arenelor	20 sep 2026	https://crosularenelor.ro/
	Ani Run	20 sep 2026	https://www.facebook.com/events/centrul-de-vizitare-ceala/anirun-14/844493948404998/
	Trail ca cabana	20 sep 2026	https://www.facebook.com/traillacabana
	Maraton Piatra Craiului	26 sep 2026	https://www.carpathianman.ro/
	Semimaraton Porolissum	26 sep 2026	https://porolissumtrail.ro/
	Discover Valea Doftanei	26 sep 2026	https://apedalforward.com/
	Ascotid Trail Race	26 sep 2026	https://www.facebook.com/Ascotidtrailrace/
	Crosul Odorheiului	26 sep 2026	https://tomegfutas.ro/ro/pagina-principala/
	UVT Liberty Marathon Timisoara	26-27 sep 2026	https://libertymarathon.uvt.ro/
	Buzău 21k	27 sep 2026	https://buzau.21k.ro/
	Chisinau Marathon	27 sep 2026	https://marathon.md/
	Octombrie		
	Veverița Night Run	3 oct 2026	https://veveritanightrun.ro/
	Crosul Regina Maria 	3 oct 2026	https://runnersclub.ro/
	Last Man Standing	3 oct 2026	https://zut.run/last-man-standing/
	Brașov Running Festival	3-4 oct 2026	https://www.facebook.com/events/1897613507845541/
	Mârzeşti Trail Run	4 oct 2026	https://marzestirun.ro/
	Harvest Run	4 oct 2026	https://harvestrun.ro/
	TulbuRun	10 oct 2026	https://www.facebook.com/events/1526516481704046/
	Hercules Maraton	10 oct 2026	https://hercules-maraton.ro/
	Maratonul International Bucuresti	10-11 oct 2026	https://bucharest-marathon.com/
	Semimaraton Calarasi	17 oct 2026	https://www.facebook.com/events/s/semimaraton-alergarea-de-samba/1122029173473341/
	Faget Tour	17 oct 2026	https://runnersclub.ro/
	Azuga Trail Race	17 oct 2026	https://azuga.trailrace.ro/
	AlerGând la pădure	24 oct 2026	https://www.facebook.com/events/s/alergand-la-padure-xii/2073717386718201/
	Timisoara City Marathon	25 oct 2026	https://timisoaracitymarathon.ro/
	Cursa imposibila	25 oct 2026	https://aleargaromania.ro/cursa-imposibila/
	Beiuș Running Day	31 oct 2026	https://www.facebook.com/profile.php?id=100057105803737
	Hateg Royal Trail	31 oct 2026	https://hategroyaltrail.ro/
	Noiembrie		
	Baneasa Forest Run	1 nov 2026	https://baneasaforestrun.ro/
	Run Iasi	1 nov 2026	https://runiasi.ro/
	Lunca Timisului	7 nov 2026	https://www.facebook.com/events/s/lunca-timisului-cx-2026/2055204631963341/
	Istrita Xscape	7 nov 2026	https://istritaxscape.ro/
	Bucharest 21k	8 nov 2026	https://21k.ro/
	Crosul 15 noiembrie	14 nov 2026	https://15noiembrie.ro/
	Crosul de noapte Cluj	14 nov 2026	https://runnersclub.ro/
	Decembrie		
	Maraton 1 Decembrie	1 dec 2026	http://www.maraton1decembrie.ro/
	Cluj EcoTrail	1 dec 2026	https://clujecotrail.com/
	OVB Charity Run	5 dec 2026	https://runnersclub.ro/
	Pe Arges in jos	13 dec 2026	https://paj.pitestitriathlon.ro/
	Maratonul de Crăciun	13 dec 2026	https://www.facebook.com/events/1828915547737887

